Stock Code,Name of Listed Securities,Board Lot,Admitted to Central Clearing and Settlement System,Designated Securities eligible for shortselling,Admitted to Stock Options?,Admitted to Stock Futures
00001,CHEUNG KONG,1,000,#,H,O,F
00002,CLP HOLDINGS,500,#,H,O,F
00003,HK & CHINA GAS,1,000,#,H,O,F
00004,WHARF HOLDINGS,1,000,#,H,O,F
00005,HSBC HOLDINGS,400,#,H,O,F
00006,HK ELECTRIC,500,#,H,O,F
00007,KARL THOMSON,2,000,#, , , 
00008,PCCW,1,000,#,H, , 
00009,CHINA MANDARIN,60,000,#, , , 
00010,HANG LUNG GROUP,1,000,#,H, , 
00011,HANG SENG BANK,100,#,H,O,F
00012,HENDERSON LAND,1,000,#,H,O,F
00013,HUTCHISON,1,000,#,H,O,F
00014,HYSAN DEV,1,000,#,H, , 
00015,VANTAGE INT'L,6,000,#, , , 
00016,SHK PPT,1,000,#,H,O,F
00017,NEW WORLD DEV,1,000,#,H,O,F
00018,ORIENTAL PRESS,2,000,#, , , 
00019,SWIRE PACIFIC A,500,#,H,O,F
00020,WHEELOCK,1,000,#,H, , 
00021,WAYTUNG GLOBAL,5,000,#, , , 
00022,MEXAN,40,000,#, , , 
00023,BANK OF E ASIA,200,#,H,O,F
00024,BURWILL,2,000,#,H, , 
00025,CHEVALIER INT'L,2,000,#, , , 
00026,CHINA MOTOR BUS,200,#,H, , 
00027,GALAXY ENT,1,000,#,H, , 
00028,TIAN AN,1,000,#,H, , 
00029,DYNAMIC HOLD,2,000,#, , , 
00030,ABC COM (HOLD),2,000,#, , , 
00031,CHINA AEROSPACE,2,000,#,H, , 
00032,CROSS-HAR(HOLD),1,000,#,H, , 
00033,RAINBOWBROTHERS,2,000,#, , , 
00034,KOWLOON DEV,1,000,#,H, , 
00035,FE CONSORT INTL,1,000,#,H, , 
00036,FE HLDGS INTL,3,000,#, , , 
00037,FE HOTELS,2,000,#, , , 
00038,FIRST TRACTOR,2,000,#,H, , 
00039,BIO-DYNAMIC,2,000,#,H, , 
00040,GOLD PEAK,1,000,#, , , 
00041,GREAT EAGLE H,1,000,#,H, , 
00042,NE ELECTRIC,2,000,#, , , 
00043,C.P. POKPHAND,2,000,#,H, , 
00044,HAECO,400,#,H, , 
00045,HK&S HOTELS,500,#,H, , 
00046,COMPUTER & TECH,2,000,#, , , 
00047,HOP HING GROUP,4,000,#, , , 
00048,EGANAGOLDPFEIL,2,000,#, , , 
00050,HK FERRY (HOLD),1,000,#,H, , 
00051,HARBOUR CENTRE,1,000,#,H, , 
00052,FAIRWOOD HOLD,500,#, , , 
00053,GUOCO GROUP,1,000,#,H, , 
00054,HOPEWELL HOLD,500,#,H, , 
00055,NEWAY GROUP,10,000,#,H, , 
00056,ALLIED PPT (HK),2,000,#,H, , 
00057,CHEN HSONG HOLD,2,000,#, , , 
00058,SUNWAY INT'L,2,000,#, , , 
00059,SKYFAME REALTY,2,000,#, , , 
00060,HK FOOD INV,2,000,#, , , 
00061,NORTH ASIA RES,5,000,#,H, , 
00062,TRANSPORT INT'L,400,#,H, , 
00063,WINFOONG INT'L,1,000,#, , , 
00064,GET NICE,2,000,#,H, , 
00065,DETEAM CO LTD,4,000,#, , , 
00066,MTR CORPORATION,500,#,H,O,F
00067,LUMENA,2,000,#,H, , 
00068,LEE HING,1,000,#, , , 
00069,SHANGRI-LA ASIA,2,000,#,H, , 
00070,NEPTUNE GROUP,10,000,#, , , 
00071,MIRAMAR HOTEL,1,000,#,H, , 
00072,MODERN MEDIA,2,000,#, , , 
00073,ASIAN CITRUS,1,000,#, , , 
00074,GREAT WALL TECH,2,000,#,H, , 
00075,Y.T. REALTY,2,000,#, , , 
00076,SOUTH SEA PETRO,2,000,#, , , 
00077,AMS TRANSPORT,2,000,#, , , 
00078,REGAL INT'L,2,000,#,H, , 
00079,CENTURY LEGEND,4,000,#, , , 
00081,CH OVS G OCEANS,1,000,#, , , 
00082,VODONE,2,000,#,H, , 
00083,SINO LAND,2,000,#,H, , 
00084,STELUX HOLDINGS,1,000,#, , , 
00085,CHINA ELECTRON,2,000,#, , , 
00086,SUN HUNG KAI CO,1,000,#,H, , 
00087,SWIRE PACIFIC B,2,500,#, , , 
00088,TAI CHEUNG HOLD,1,000,#,H, , 
00089,TAI SANG LAND,1,000,#, , , 
00090,AMBER ENERGY,2,000,#, , , 
00091,NEWSMART ENERGY,50,000,#, , , 
00092,CHAMPION TECH,2,000,#,H, , 
00093,TERMBRAY IND,2,000,#, , , 
00094,OMNICORP,2,000,#,H, , 
00095,NEW HERITAGE,4,000,#, , , 
00096,YUSEI,2,000,#, , , 
00097,HENDERSON INV,1,000,#,H, , 
00098,XINGFA ALUM,1,000,#, , , 
00099,WONG'S INT'L,1,000,#, , , 
00100,CLEAR MEDIA,1,000,#, , , 
00101,HANG LUNG PPT,1,000,#,H, , 
00102,ARNHOLD,2,000,#, , , 
00103,SHOUGANG CENT,2,000,#,H, , 
00104,ASIA COMM HOLD,5,000,#, , , 
00105,ASSO INT HOTELS,2,000,#,H, , 
00106,SHENZHEN HI-TEC,4,000,#, , , 
00107,SICHUAN EXPRESS,2,000,#,H, , 
00108,BUILDMORE INT'L,2,000,#, , , 
00109,GOOD FELLOW RES,10,000,#, , , 
00110,CHINA FORTUNE,2,000,#, , , 
00111,CINDA INTL HLDG,2,000,#, , , 
00112,CHI CHEUNG,2,000,#, , , 
00113,DICKSON CONCEPT,500,#,H, , 
00114,HERALD HOLD,5,000,#, , , 
00115,GRAND FIELD GP,10,000,#, , , 
00116,CHOW SANG SANG,1,000,#,H, , 
00117,EYANG HOLDINGS,2,000,#, , , 
00118,COSMOS MACH,2,000,#, , , 
00119,POLY HK INV,1,000,#,H, , 
00120,COSMOPOL INT'L,20,000,#,H, , 
00121,C.P. LOTUS,10,000,#, , , 
00122,CROCODILE,1,000,#, , , 
00123,YUEXIU PROPERTY,2,000,#,H, , 
00124,KINGWAY BREW,2,000,#, , , 
00125,SUN HING VISION,2,000,#, , , 
00126,TAK SING ALLI,2,000,#, , , 
00127,CHINESE EST H,500,#,H, , 
00128,ENM HOLDINGS,4,000,#,H, , 
00129,ASIA STANDARD,2,000,#, , , 
00130,MOISELLE INT'L,2,000,#, , , 
00131,CHEUK NANG HOLD,1,000,#, , , 
00132,CHINA INV HOLD,1,000,#, , , 
00133,CHINA MERCHANTS,2,000,#,H, , 
00135,KUNLUN ENERGY,2,000,#,H, , 
00136,MASCOTTE HOLD,4,000,#, , , 
00137,JINHUI HOLDINGS,1,000,#, , , 
00138,CCT TELECOM,2,000,#, , , 
00139,ICUBE TECH,10,000,#, , , 
00141,GREAT CHINA,2,000,#, , , 
00142,FIRST PACIFIC,2,000,#,H, , 
00143,GLOBAL TECH,2,000,#, , , 
00144,CHINA MER HOLD,2,000,#,H, , 
00145,HK BLDG & LOAN,8,000,#, , , 
00146,TAI PING CARPET,1,000,#, , , 
00147,CHAOYUE GROUP,5,000,#,H, , 
00148,KINGBOARD CHEM,500,#,H, , 
00149,CH AGRI-PROD EX,6,000,#, , , 
00151,WANT WANT CHINA,1,000,#,H, , 
00152,SHENZHEN INT'L,2,500,#,H, , 
00154,BEIJING DEV(HK),1,000,#,H, , 
00155,CHINA SOLAR,10,000,#,H, , 
00156,LIPPO CHINA RES,2,000,#, , , 
00157,NATURAL BEAUTY,10,000,#, , , 
00158,MELBOURNE ENT,500,#, , , 
00159,WAH NAM INT'L,4,000,#,H, , 
00160,HON KWOK LAND,2,000,#, , , 
00161,CATIC SHENZHEN,2,000,#,H, , 
00162,CGD HOLDINGS,2,000,#, , , 
00163,EMPEROR IHL,2,000,#, , , 
00164,CHINA GAMMA,25,000,#, , , 
00165,CHINA EB LTD,2,000,#,H, , 
00166,NEWTIMES ENERGY,2,000,#,H, , 
00167,IDT INT'L,2,000,#, , , 
00168,TSINGTAO BREW,2,000,#,H, , 
00169,HENGLI PPT,2,000,#, , , 
00170,CHINA ASSETS,5,000,#, , , 
00171,SILVER GRANT,2,000,#,H, , 
00172,GOLDBOND GROUP,10,000,#, , , 
00173,K. WAH INT'L,1,000,#,H, , 
00174,GEMINI PPT,2,000,#, , , 
00175,GEELY AUTO,5,000,#,H, , 
00176,UNITED PACIFIC,2,000,#, , , 
00177,JIANGSU EXPRESS,2,000,#,H, , 
00178,SA SA INT'L,2,000,#,H, , 
00179,JOHNSON ELEC H,500,#,H, , 
00180,KADER HOLDINGS,2,000,#, , , 
00181,FUJIAN HOLDINGS,20,000,#, , , 
00182,CHINA WINDPOWER,10,000,#,H, , 
00183,RICHFIELD GP,8,000,#,H, , 
00184,KECK SENG INV,2,000,#, , , 
00185,XPRESS GROUP,10,000,#, , , 
00186,GRANDE HOLDINGS,2,000,#, , , 
00187,BEIREN PRINTING,2,000,#, , , 
00188,SW KINGSWAY,2,000,#, , , 
00189,DONGYUE GROUP,1,000,#, , , 
00190,HKC (HOLDINGS),1,000,#,H, , 
00191,LAI SUN INT'L,1,000,#, , , 
00193,CAPITAL ESTATE,5,000,#, , , 
00194,LIU CHONG HING,2,000,#, , , 
00195,VITAR INT'L,10,000,#, , , 
00196,HONGHUA GROUP,1,000,#,H, , 
00197,HENG TAI,5,000,#,H, , 
00198,SMI CORP,4,000,#,H, , 
00199,ITC PROPERTIES,3,000,#, , , 
00200,MELCO INT'L DEV,1,000,#,H, , 
00201,MAGNIFICENT,2,000,#, , , 
00202,INTERCHINA HOLD,5,000,#, , , 
00204,TEMUJIN INT'L,2,000,#, , , 
00205,SEEC MEDIA,2,000,#, , , 
00206,TSC OFFSHORE,1,000,#, , , 
00207,HK PARKVIEW,2,000,#, , , 
00208,POLYTEC ASSET,5,000,#, , , 
00209,SEWCO INT'L,4,000,#, , , 
00210,DAPHNE INT'L,2,000,#,H, , 
00211,STYLAND HOLD,10,000,#, , , 
00212,NANYANG HOLD,500,#, , , 
00213,NATIONAL ELEC H,2,000,#, , , 
00214,ASIA ORIENT,2,000,#, , , 
00215,HUTCHTEL HK,2,000,#,H, , 
00216,CHINNEY INV,4,000,#, , , 
00217,CHINA CHENGTONG,2,000,#,H, , 
00218,SHENYIN WANGUO,5,000,#,H, , 
00219,SHUN HO TECH,2,000,#, , , 
00220,U-PRESID CHINA,1,000,#,H, , 
00221,PNG RESOURCES,8,000,#, , , 
00222,MIN XIN HOLD,2,000,#, , , 
00223,SRGL,2,000,#, , , 
00224,PIONEER GLOBAL,2,000,#, , , 
00225,POKFULAM,2,000,#, , , 
00226,LIPPO,1,000,#, , , 
00227,FIRST SHANGHAI,8,000,#,H, , 
00228,CHINA ENERGY,2,000,#,H, , 
00229,RAYMOND IND,1,000,#, , , 
00230,MINMETALS LAND,2,000,#,H, , 
00231,MADEX INTL HOLD,20,000,#, , , 
00232,AVIC INT'L,2,000,#,H, , 
00233,MY MEDICARE,10,000,#,H, , 
00234,NEW CENTURY GP,8,000,#, , , 
00235,CHINA STRATEGIC,5,000,#, , , 
00236,SAN MIGUEL HK,2,000,#, , , 
00237,SAFETY GODOWN,2,000,#, , , 
00238,EVERGREEN INT,1,000,#, , , 
00239,PAK FAH YEOW,2,500,#, , , 
00240,BUILD KING HOLD,10,000,#, , , 
00241,CITIC 21CN,2,000,#,H, , 
00242,SHUN TAK HOLD,2,000,#,H, , 
00243,QPL INT'L,1,000,#, , , 
00244,SINCERE,1,000,#, , , 
00245,CHINA SEVENSTAR,10,000,#, , , 
00246,REALGOLD MINING,500,#,H, , 
00247,TST PROPERTIES,2,000,#,H, , 
00248,HKC INT'L HOLD,4,000,#, , , 
00250,SINO-I TECH,10,000,#, , , 
00251,SEA HOLDINGS,2,000,#, , , 
00252,SE ASIA PPT,2,000,#, , , 
00253,SHUN HO RES,2,000,#, , , 
00254,CH OUTDOORMEDIA,5,000,#, , , 
00255,LUNG KEE,2,000,#,H, , 
00256,CHINA HAIDIAN,2,000,#, , , 
00257,CHINA EB INT'L,1,000,#,H, , 
00258,TOMSON GROUP,2,000,#,H, , 
00259,YEEBO (INT'L H),2,000,#, , , 
00260,SINOGAS,10,000,#, , , 
00261,CCT TECH INT'L,80,000,#, , , 
00262,DESON DEV INT'L,5,000,#, , , 
00263,CH YUNNAN-NEW,4,000,#, , , 
00264,CHANCO INT'L,4,000,#, , , 
00265,SOUTH CHINA H,5,000,#, , , 
00266,TIAN TECK LAND,2,000,#, , , 
00267,CITIC PACIFIC,1,000,#,H,O,F
00268,KINGDEE INT'L,2,000,#,H, , 
00269,CHINA TIMBER,100,000,#,H, , 
00270,GUANGDONG INV,2,000,#,H, , 
00271,DAN FORM HOLD,1,000,#, , , 
00272,SHUI ON LAND,500,#,H, , 
00273,WILLIE INT'L,10,000,#, , , 
00274,GLOBAL GREEN,2,000,#, , , 
00275,HANNY HOLDINGS,2,000,#, , , 
00276,MONGOLIA ENERGY,1,000,#, , , 
00277,TERN PROPERTIES,2,000,#, , , 
00278,WAH HA REALTY,2,000,#, , , 
00279,FREEMAN FIN,5,000,#, , , 
00280,KING FOOK HOLD,2,000,#, , , 
00281,RIVERA (HOLD),2,000,#, , , 
00282,NEXT MEDIA,2,000,#, , , 
00283,GOLDIN PPT,2,000,#,H, , 
00285,BYD ELECTRONIC,500,#,H, , 
00286,G-PROP (HOLD),2,000,#, , , 
00287,WINFAIR INV,2,000,#, , , 
00288,COSWAY CORP,5,000,#, , , 
00289,WING ON CO,1,000,#,H, , 
00290,CH FORTUNE GP,2,000,#, , , 
00291,CHINA RESOURCES,2,000,#,H, , 
00292,ASIA STD HOTEL,10,000,#, , , 
00293,CATHAY PAC AIR,1,000,#,H,O,F
00294,YANGTZEKIANG,1,000,#, , , 
00295,KONG SUN HOLD,5,000,#, , , 
00296,EMPEROR E HOTEL,5,000,#, , , 
00297,SINOFERT,2,000,#,H, , 
00298,CHUANG'S CHINA,1,000,#, , , 
00299,SINOCOM SOFT,2,000,#,H, , 
00300,KUNMING MACHINE,2,000,#, , , 
00302,WING HANG BANK,500,#,H, , 
00303,VTECH HOLDINGS,100,#,H, , 
00304,PEACE MARK,2,000,#, , , 
00305,DH WULING AUTO,10,000,#, , , 
00306,KWOON CHUNG BUS,2,000,#, , , 
00307,TIDETIME SUN,4,000,#, , , 
00308,CHINA TRAVEL HK,2,000,#,H, , 
00309,LO'S ENVIRO-PRO,1,000,#, , , 
00310,PROSP INV HOLD,5,000,#, , , 
00311,LUEN THAI,1,000,#, , , 
00312,SHIRBLE STORE,2,000,#, , , 
00313,RICHLY FIELD,10,000,#,H, , 
00315,SMARTONE TELE,500,#,H, , 
00316,OOIL,500,#,H, , 
00317,GUANGZHOU SHIP,2,000,#,H, , 
00318,VONGROUP,5,000,#, , , 
00319,CHINA METAL,2,000,#, , , 
00320,COMPUTIME,2,000,#, , , 
00321,TEXWINCA HOLD,2,000,#,H, , 
00322,TINGYI,2,000,#,H, , 
00323,MAANSHAN IRON,2,000,#,H, , 
00325,TRAUSON HLDGS,1,000,#,H, , 
00326,CHINA STAR ENT,5,000,#, , , 
00327,PAX GLOBAL,1,000,#, , , 
00328,ALCO HOLDINGS,2,000,#, , , 
00329,DRAGONITE INT'L,10,000,#, , , 
00330,ESPRIT HOLDINGS,100,#,H,O,F
00331,PCD STORES,2,000,#,H, , 
00332,NGAI LIK IND,2,000,#, , , 
00333,TOP FORM INT'L,2,000,#, , , 
00334,PROVIEW INT'L,2,000,#, , , 
00335,UPBEST GROUP,2,000,#, , , 
00336,HUABAO INTL,1,000,#,H, , 
00337,SPG LAND,1,000,#,H, , 
00338,SHANGHAI PECHEM,2,000,#,H, , 
00339,EARNEST INV,10,000,#, , , 
00340,CHINA MINING,2,000,#,H, , 
00341,CAFE DE CORAL H,2,000,#,H, , 
00342,NEWOCEAN ENERGY,2,000,#, , , 
00343,CULTURECOM HOLD,5,000,#, , , 
00345,VITASOY INT'L,2,000,#,H, , 
00346,SINOUNIONENERGY,10,000,#,H, , 
00347,ANGANG STEEL,2,000,#,H, , 
00348,LUNG CHEONG,2,000,#,H, , 
00350,JINGWEI TEXTILE,2,000,#, , , 
00351,ASIA ENERGY LOG,10,000,#,H, , 
00352,FORTUNE SUN,2,000,#, , , 
00353,ENERGY INTINV,2,000,#, , , 
00354,CHINASOFT INT'L,10,000,#,H, , 
00355,CENTURY C INT'L,4,000,#,H, , 
00356,INCUTECH INVEST,10,000,#, , , 
00357,MEILAN AIRPORT,1,000,#,H, , 
00358,JIANGXI COPPER,1,000,#,H,O, 
00359,HAISHENG JUICE,4,000,#, , , 
00360,NEW FOCUS AUTO,4,000,#, , , 
00361,SINO GOLF HOLD,2,000,#, , , 
00362,C ZENITH CHEM,10,000,#,H, , 
00363,SHANGHAI IND H,1,000,#,H, , 
00364,HUAFENG GROUP,4,000,#, , , 
00365,SUN EAST TECH,2,000,#, , , 
00366,LUKS GROUP (VN),2,000,#, , , 
00367,CHUANG'S INT'L,4,000,#, , , 
00368,SINOTRANS SHIP,500,#,H, , 
00369,WING TAI PPT,2,000,#,H, , 
00370,CHINA BEST,20,000,#, , , 
00371,BJ ENT WATER,2,000,#, , , 
00372,ITC CORPORATION,2,000,#, , , 
00373,ALLIED GROUP,2,000,#,H, , 
00374,FOUR SEAS MER,2,000,#, , , 
00375,YGM TRADING,1,000,#, , , 
00376,ASIA TELEMEDIA,2,000,#, , , 
00377,NEW ISLAND,4,000,#, , , 
00378,CIAM GROUP,10,000,#, , , 
00379,PME,10,000,#, , , 
00380,CHINA PIPE,20,000,#, , , 
00381,KIU HUNG ENERGY,10,000,#,H, , 
00382,WELLING HOLDING,2,000,#,H, , 
00383,COL CAPITAL,4,000,#, , , 
00384,CHINA GAS HOLD,2,000,#,H, , 
00385,CHINNEY ALLI,10,000,#, , , 
00386,SINOPEC CORP,2,000,#,H,O,F
00387,LEEPORT(HOLD),4,000,#, , , 
00388,HKEX,100,#,H,O,F
00389,TONTINE WINES,2,000,#,H, , 
00390,CHINA RAILWAY,1,000,#,H,O, 
00391,MEI AH ENTER,20,000,#, , , 
00392,BEIJING ENT,500,#,H, , 
00393,GLORIOUS SUN,2,000,#,H, , 
00395,SINO DRAGON,8,000,#, , , 
00396,HING LEE (HK),2,000,#, , , 
00397,C GOGREEN ASSET,20,000,#, , , 
00398,ORIENTAL WATCH,2,000,#, , , 
00399,UNITED GENE GP,10,000,#,H, , 
00402,MONGOLIA INV,2,000,#,H, , 
00403,STARLITE HOLD,2,000,#, , , 
00404,HSIN CHONG CONS,2,000,#, , , 
00406,YAU LEE HOLD,2,000,#, , , 
00408,YIP'S CHEMICAL,2,000,#,H, , 
00410,SOHO CHINA,500,#,H, , 
00411,LAM SOON (HK),1,000,#, , , 
00412,HERITAGE INT'L,5,000,#, , , 
00413,SOUTH CHINA CHI,8,000,#, , , 
00417,TSE SUI LUEN,2,000,#, , , 
00418,FOUNDER HOLD,2,000,#, , , 
00419,MEDIACHINA CORP,50,000,#,H, , 
00420,FOUNTAIN SET,2,000,#, , , 
00421,CDAYENONFER PRE,1,000, , , , 
00422,VMEP HOLDINGS,1,000,#,H, , 
00423,HKET HOLDINGS,2,000,#, , , 
00425,MINTH GROUP,2,000,#,H, , 
00426,ONE MEDIA GROUP,2,000,#, , , 
00428,HARMONY ASSET,2,000,#, , , 
00430,ORIENTAL EXPL,2,000,#, , , 
00431,G CHINA HOLD,4,000,#, , , 
00432,PCPD,1,000,#, , , 
00433,NORTH MINING,10,000,#, , , 
00438,IRICO,2,000,#, , , 
00439,CLIMAX INT'L,8,000,#, , , 
00440,DAH SING,400,#,H, , 
00444,SINCEREWATCH HK,3,000,#, , , 
00445,CHINA FIRE,5,000,#, , , 
