Stock Code,Name of Listed Securities,Board Lot,Admitted to Central Clearing and Settlement System,Designated Securities eligible for shortselling,Admitted to Stock Options?,Admitted to Stock Futures
00984,AEON STORES,2,000,#, , , 
00985,CST MINING,8,000,#, , , 
00986,NAM HING,2,000,#, , , 
00987,HK ENERGY HOLD,2,000,#, , , 
00988,LOUDONG GN RES,3,000,#, , , 
00989,CHINA MOTION,1,000,#, , , 
00990,THEME INT'L,10,000,#,H, , 
00991,DATANG POWER,2,000,#,H, , 
00992,LENOVO GROUP,2,000,#,H, , 
00993,SIMSEN INT'L,2,000,#, , , 
00995,ANHUIEXPRESSWAY,2,000,#,H, , 
00996,ORIENTAL GINZA,1,000,#,H, , 
00997,DECCA HOLDINGS,2,000,#, , , 
00998,CITIC BANK,1,000,#,H,O, 
00999,I.T,2,000,#,H, , 
01000,BEIJING MEDIA,500,#, , , 
01001,VAN SHUNG CHONG,2,000,#, , , 
01002,V.S. INT'L,4,000,#, , , 
01003,21 HOLDINGS-NEW,10,000,#, , , 
01004,RISING DEV HOLD,2,000,#, , , 
01005,MATRIX HOLDINGS,2,000,#, , , 
01006,CHINA CORN OIL,1,000,#,H, , 
01007,GLOBAL DAIRY,1,000,#, , , 
01008,CT HOLDINGS,2,000,#, , , 
01009,INT'L ENT,2,000,#, , , 
01010,PACMOS TECH,2,000,#, , , 
01013,WAI CHUN GROUP,2,000,#, , , 
01019,CONVOY,2,000,#, , , 
01020,SINOREF HLDGS,4,000,#, , , 
01021,MIDAS HOLDINGS,1,000,#, , , 
01026,UNIVERSAL TECH,10,000,#, , , 
01029,IRC,2,000,#, , , 
01031,GOLDEN RESORTS,2,000,#,H, , 
01033,YIZHENG CHEM,2,000,#,H, , 
01036,WINSOR PPT HOLD,1,000,#, , , 
01037,DAIWA ASSOCIATE,2,000,#, , , 
01038,CKI HOLDINGS,1,000,#,H, , 
01039,CHANGFENG AXLE,1,000,#,H, , 
01041,FULBOND HOLDING,2,000,#, , , 
01043,COSLIGHT TECH,2,000,#,H, , 
01044,HENGAN INT'L,500,#,H, , 
01045,APT SATELLITE,500,#, , , 
01046,UNIVERSE INT'L,5,000,#, , , 
01047,NGAI HING HONG,2,000,#, , , 
01048,NOVO GROUP,1,000,#, , , 
01049,CELESTIAL ASIA,6,000,#, , , 
01050,KARRIE INT'L,2,000,#, , , 
01051,G-RESOURCES,3,000,#, , , 
01052,GZI TRANSPORT,2,000,#,H, , 
01053,CHONGQING IRON,2,000,#,H, , 
01055,CHINA SOUTH AIR,2,000,#,H, , 
01058,GUANGDONG TANN,2,000,#, , , 
01059,KANTONE HOLDING,30,000,#, , , 
01060,CHINAVISION,10,000,#,H, , 
01062,NEW CAPITAL,10,000,#, , , 
01063,SUNCORP TECH,4,000,#, , , 
01064,ZHONG HUA INT'L,5,000,#, , , 
01065,TIANJIN CAPITAL,2,000,#,H, , 
01066,WEIGAO GROUP,4,000,#,H, , 
01068,YURUN FOOD,1,000,#,H, , 
01070,TCL MULTIMEDIA,2,000,#, , , 
01071,HUADIAN POWER,2,000,#,H, , 
01072,DONGFANG ELEC,200,#,H, , 
01073,CHINA AGROTECH,2,000,#, , , 
01076,FIRST NATURAL,5,000,#, , , 
01079,PINE TECH,2,000,#, , , 
01080,SHENGLI PIPE,1,500,#, , , 
01083,TOWNGAS CHINA,1,000,#,H, , 
01085,HXTL,2,000,#, , , 
01086,GOODBABY INTL,1,000,#, , , 
01087,HL TECHNOLOGY,1,000,#, , , 
01088,CHINA SHENHUA,500,#,H,O, 
01090,DA MING INT'L,2,000,#, , , 
01091,CITIC DAMENG,1,000,#, , , 
01093,CHINA PHARMA,2,000,#,H, , 
01094,C P PROCUREMENT,4,000,#,H, , 
01097,I-CABLE COMM,1,000,#, , , 
01098,ROAD KING INFRA,1,000,#,H, , 
01099,SINOPHARM,400,#,H, , 
01100,MAINLAND HOLD,2,000,#, , , 
01101,CH RONGSHENG,500,#, , , 
01102,ENVIRO ENERGY,2,000,#, , , 
01104,APAC RESOURCES,20,000,#,H, , 
01105,SING TAO,2,000,#, , , 
01108,LUOYANG GLASS,2,000,#, , , 
01109,CHINA RES LAND,2,000,#,H, , 
01110,KINGWORLD,4,000,#, , , 
01111,CHONG HING BANK,1,000,#,H, , 
01112,BIOSTIME,500,#, , , 
01114,BRILLIANCE CHI,2,000,#,H, , 
01116,MAYER HOLDINGS,4,000,#, , , 
01117,CH MODERN D,1,000,#, , , 
01118,GOLIK HOLDINGS,10,000,#, , , 
01120,ARTS OPTICAL,2,000,#, , , 
01122,QINGLING MOTORS,2,000,#,H, , 
01123,CHINA-HK PHOTO,2,000,#, , , 
01124,COASTAL GL,2,000,#, , , 
01125,LAI FUNG HOLD,1,000,#, , , 
01126,DREAM INT'L,2,000,#, , , 
01128,WYNN MACAU,400,#,H, , 
01129,WATER INDUSTRY,4,000,#, , , 
01130,CHINA ENV RES,20,000,#, , , 
01131,AGRITRADE RES,5,000,#, , , 
01132,ORANGE SKY G H,5,000,#,H, , 
01133,HARBIN POWER,2,000,#,H, , 
01135,ASIA SATELLITE,500,#, , , 
01136,TCC INT'L HOLD,2,000,#, , , 
01137,CITY TELECOM,1,000,#,H, , 
01138,CHINA SHIP DEV,2,000,#,H, , 
01139,VICTORY GROUP,8,000,#, , , 
01140,OP FIN INV,4,000,#, , , 
01141,BJ YUSHENGTANG,8,000,#, , , 
01142,SIBERIAN MINING,10,000,#, , , 
01149,ANXIN-CHINA,4,000,#, , , 
01155,CENTRON TELECOM,1,000,#,H, , 
01157,ZOOMLION,200,#, , , 
01159,KARCE INTL HOLD,4,000,#, , , 
01160,GRAND INV INTL,100,000,#, , , 
01161,WATER OASIS GP,2,000,#, , , 
01163,DEJIN RES,2,000,#,H, , 
01164,VITAL GROUP,5,000,#, , , 
01166,SOLARTECH INT'L,10,000,#, , , 
01168,SINOLINK HOLD,2,000,#,H, , 
01169,HAIER ELEC,1,000,#,H, , 
01170,KINGMAKER,2,000,#,H, , 
01171,YANZHOU COAL,2,000,#,H,O, 
01172,MIDAS INT'L,2,000,#, , , 
01173,VEEKO INT'L,20,000,#, , , 
01174,PACIFIC ANDES,2,000,#,H, , 
01175,FU JI CATERING,1,000,#, , , 
01176,ZHUGUANG HOLD,2,000,#,H, , 
01177,SINO BIOPHARM,4,000,#,H, , 
01178,VITOP BIOENERGY,10,000,#, , , 
01180,PARADISE ENT,20,000,#, , , 
01182,C Y FOUNDATION,5,000,#, , , 
01184,S.A.S. DRAGON,2,000,#, , , 
01185,CHINA ENERGINE,2,000,#,H, , 
01186,CHINA RAIL CONS,500,#,H,O, 
01187,PEARLRIVER TYRE,2,000,#, , , 
01188,HYBRID KINETIC,2,000,#, , , 
01189,ROSEDALE HOTEL,10,000,#, , , 
01191,YUESHOU ENV,2,000,#, , , 
01192,TITAN PETROCHEM,20,000,#,H, , 
01193,CHINA RES GAS,2,000,#,H, , 
01194,C PRECIOUSMETAL,2,000,#,H, , 
01195,KINGWELL GROUP,4,000,#, , , 
01196,CHEONG MING INV,2,000,#, , , 
01198,ROYALE FURN,2,000,#, , , 
01199,COSCO PACIFIC,2,000,#,H, , 
01200,MIDLAND HOLDING,2,000,#,H, , 
01201,KITH HOLDINGS,2,000,#, , , 
01202,CHENGDU PUTIAN,2,000,#, , , 
01203,GUANGNAN (HOLD),2,000,#,H, , 
01205,CITIC RESOURCES,2,000,#,H, , 
01207,SRE GROUP,2,000,#,H, , 
01208,MIN RESOURCES,4,000,#,H, , 
01211,BYD COMPANY,500,#,H,O, 
01212,LIFESTYLE INT'L,500,#,H, , 
01213,MOBICON GROUP,2,000,#, , , 
01215,KAI YUAN HLDGS,20,000,#, , , 
01217,CH INNOVATION,8,000,#, , , 
01218,EASYKNIT INT'L,1,000,#, , , 
01220,OCEAN GRAND,2,000,#, , , 
01221,SINO HOTELS,2,000,#, , , 
01222,WANG ON GROUP,20,000,#, , , 
01223,SYMPHONY HOLD,2,000,#, , , 
01224,C C LAND,1,000,#,H, , 
01225,LERADO GROUP,2,000,#, , , 
01226,GARRON INT'L,4,000,#, , , 
01227,NATIONAL INV,10,000,#, , , 
01228,SUPERB SUMMIT,5,000,#,H, , 
01229,CHINA SONANGOL,2,000,#, , , 
01230,YASHILI INT'L,1,000,#, , , 
01234,CHINA LILANG,1,000,#,H, , 
01238,POWERLONG,1,000,#,H, , 
01278,CHINANEWTOWN,2,500,#, , , 
01280,HUIYIN APP,2,000,#,H, , 
01282,WWTT,4,000,#, , , 
01288,ABC,1,000,#,H,O, 
01299,AIA,200,#,H,O, 
01308,SITC,1,000,#, , , 
01313,CHINARES CEMENT,2,000,#,H, , 
01318,GREENS HOLDINGS,2,000,#,H, , 
01328,INT'L ELITE,10,000,#, , , 
01333,CHINA ZHONGWANG,400,#,H, , 
01338,BAWANG GROUP,2,000,#,H, , 
01361,361 DEGREES,1,000,#,H, , 
01368,XTEP INT'L,500,#,H, , 
01382,PACIFICTEXTILES,1,000,#,H, , 
01383,HONG LONG HLDGS,2,000,#, , , 
01386,WALKER GROUP,1,000,#, , , 
01387,RENHE COMM,2,000,#,H, , 
01388,EMBRY HOLDINGS,1,000,#, , , 
01393,HIDILI INDUSTRY,1,000,#,H, , 
01398,ICBC,1,000,#,H,O,F
01399,SCUD GROUP,2,000,#, , , 
01428,BRIGHT SMART,2,000,#, , , 
01555,MIE HOLDINGS,2,000,#, , , 
01600,TIAN LUN GAS,1,500,#, , , 
01618,MCC,1,000,#,H, , 
01628,YUZHOU PPT,1,000,#,H, , 
01633,MAGIC HOLDINGS,1,000,#,H, , 
01638,KAISA GROUP,1,000,#,H, , 
01666,TONG REN TANG,1,000,#, , , 
01668,CHINASOUTHCITY,2,000,#,H, , 
01682,FORD GLORY GP,4,000,#, , , 
01683,IMM,500,#,H, , 
01685,BOER POWER,1,000,#, , , 
01688,ALIBABA,500,#,H, , 
01698,BOSHIWA INT'L,1,000,#, , , 
01700,SPRINGLAND,1,000,#, , , 
01708,SAMPLE TECH,1,000,#, , , 
01717,AUSNUTRIA,1,000,#,H, , 
01728,ZHENGTONGAUTO,500,#, , , 
01733,WINSWAY,1,000,#, , , 
01766,CSR,1,000,#,H, , 
01768,SATERI,500,#, , , 
01777,FANTASIA,1,500,#,H, , 
01788,GUOTAI JUNAN I,1,000,#,H, , 
01798,DATANG RENEW,1,000,#, , , 
01800,CHINA COMM CONS,1,000,#,H,O,F
01808,TAI-I INT'L,2,000,#, , , 
01812,CHENMING PAPER,500,#,H, , 
01813,KWG PROPERTY,500,#,H, , 
01818,ZHAOJIN MINING,500,#,H, , 
01823,HUAYUEXPRESSWAY,2,000,#, , , 
01828,DCH HOLDINGS,1,000,#,H, , 
01831,SHIFANG HLDG,1,000,#, , , 
01833,INTIME,1,000,#,H, , 
01836,STELLA HOLDINGS,500,#,H, , 
01838,CHINAPROPERTIES,1,000,#, , , 
01863,SIJIA GROUP,1,000,#,H, , 
01866,CHINA XLX FERT,1,000,#,H, , 
01868,NEO-NEON,500,#,H, , 
01878,SOUTHGOBI,50,#, , , 
01880,BELLE INT'L,1,000,#,H, , 
01882,HAITIAN INT'L,1,000,#,H, , 
01883,CITIC TELECOM,1,000,#,H, , 
01886,HUIYUAN JUICE,500,#,H, , 
01888,KB LAMINATES,500,#,H, , 
01889,WUYI PHARMA,2,500,#,H, , 
01893,SINOMA,1,000,#,H, , 
01898,CHINA COAL,1,000,#,H,O, 
01899,XINGDA INT'L,1,000,#,H, , 
01900,CHINA ITS,1,000,#, , , 
01918,SUNAC,1,000,#, , , 
01919,CHINA COSCO,500,#,H,O, 
01928,SANDS CHINA LTD,400,#,H, , 
01938,CHU KONG PIPE,1,000,#,H, , 
01966,CHINA SCE PPT,1,000,#,H, , 
01968,PEAK SPORT,1,000,#,H, , 
01988,MINSHENG BANK,500,#,H, , 
01991,TA YANG GROUP,2,000,#, , , 
01997,RMIH,2,000,#, , , 
01998,FLYKE INT'L,2,000,#,H, , 
01999,MAN WAH HLDGS,400,#,H, , 
02000,SIM TECH,2,000,#,H, , 
02002,SUNSHINE PAPER,500,#, , , 
02005,LIJUN INT'L,5,000,#,H, , 
02006,JINJIANG HOTELS,2,000,#,H, , 
02007,COUNTRY GARDEN,1,000,#,H, , 
02008,PHOENIX TV,2,000,#,H, , 
02009,BBMG,500,#,H, , 
02010,RUINIAN INT'L,1,000,#,H, , 
02018,AAC ACOUSTIC,2,000,#,H, , 
02020,ANTA SPORTS,1,000,#,H, , 
02028,JOLIMARK,2,000,#, , , 
02038,FIH,1,000,#,H,O,F
02088,XIWANG SUGAR,2,000,#,H, , 
02099,CHINAGOLDINTL,100,#, , , 
02118,TIAN SHAN DEV,2,000,#, , , 
02128,CHINA LIANSU,1,000,#,H, , 
02168,YINGDE GASES,500,#,H, , 
02188,TITANS ENERGY,2,000,#, , , 
02198,CHINA SANJIANG,1,000,#,H, , 
02208,GOLDWIND,200,#,H, , 
02222,NVC LIGHTING,1,000,#,H, , 
02228,COSTIN NEW MAT,1,000,#,H, , 
02233,WESTCHINACEMENT,2,000,#,H, , 
02238,GAC GROUP,2,000,#,H, , 
02266,KOSMO HOTELS,1,000,#, , , 
02268,YOUYUAN HLDGS,1,000,#, , , 
02288,SUNDART INT'L,1,000,#,H, , 
02300,AMVIG HOLDINGS,2,000,#, , , 
02302,CNNC INT'L,1,000,#, , , 
02307,KAM HING INT'L,2,000,#, , , 
02308,EVOC,4,000,#, , , 
02309,BIRMINGHAM INTL,2,000,#, , , 
02310,KWANG SUNG ELEC,2,000,#, , , 
02312,CH FIN LEASING,15,000,#, , , 
02313,SHENZHOU INTL,1,000,#,H, , 
02314,LEE & MAN PAPER,1,000,#,H, , 
02317,VEDAN INT'L,4,000,#, , , 
02318,PING AN,500,#,H,O,F
02319,MENGNIU DAIRY,1,000,#,H, , 
02320,HOP FUNG GROUP,2,000,#, , , 
02322,SAM WOO,10,000,#, , , 
02323,TOPSEARCH INT'L,2,000,#, , , 
02324,CAPITAL VC,10,000,#, , , 
02326,BEP INT'L HOLD,6,000,#, , , 
02327,JIWA BIO-PHARM,6,000,#, , , 
02328,PICC P&C,2,000,#,H,O,F
02330,CHINA UPTOWN,4,000,#, , , 
02331,LI NING,500,#,H, , 
02333,GREATWALL MOTOR,500,#,H, , 
02336,SUNLINK INT'L,4,000,#, , , 
02337,FORTE LAND,2,000,#,H, , 
02338,WEICHAI POWER,1,000,#,H, , 
02339,NORSTAR,4,000,#, , , 
02340,SYNERGIS HOLD,4,000,#, , , 
02341,ECOGREEN,2,000,#, , , 
02342,COMBA,500,#,H, , 
02343,PACIFIC BASIN,1,000,#,H, , 
02345,SHANGHAI PRIME,2,000,#,H, , 
02348,DAWNRAYS PHARMA,4,000,#, , , 
02349,WATER PROPERTY,4,000,#,H, , 
02355,BAOYE GROUP,2,000,#,H, , 
02356,DAHSING BANKING,400,#,H, , 
02357,AVICHINA,4,000,#,H, , 
02358,MITSUMARU HOLD,2,000,#, , , 
02362,MACAU INV HOLD,1,000,#, , , 
02366,QJY MEDIA,2,000,#, , , 
02368,EAGLE NICE,2,000,#,H, , 
02369,CHINA WIRELESS,4,000,#, , , 
02371,ZZNODE TECH,4,000,#, , , 
02378,PRU,500,#, , , 
02379,ZHONGTIAN INT'L,5,000,#, , , 
02380,CHINA POWER,1,000,#,H, , 
02382,SUNNY OPTICAL,1,000,#,H, , 
02383,TOM GROUP,2,000,#, , , 
02388,BOC HONG KONG,500,#,H,O,F
02389,GENVON GROUP,12,000,#, , , 
02398,GOOD FRIEND,2,000,#, , , 
02468,TRONY SOLAR,1,000,#, , , 
02600,CHALCO,2,000,#,H,O,F
02601,CPIC,200,#,H,O, 
02618,TCL COMM,1,000,#, , , 
02626,HNC,2,000,#,H, , 
02628,CHINA LIFE,1,000,#,H,O,F
02662,FITTEC,2,000,#, , , 
02668,PAK TAK INT'L,4,000,#, , , 
02678,TEXHONG TEXTILE,2,000,#, , , 
02688,ENN ENERGY,2,000,#,H, , 
02689,ND PAPER,1,000,#,H, , 
02698,WEIQIAO TEXTILE,500,#,H, , 
02700,SMART UNION GP,2,000,#, , , 
02722,CHONGQING M&E,2,000,#,H, , 
02727,SH ELECTRIC,2,000,#,H, , 
02728,SHINHINT,4,000,#, , , 
02777,R&F PROPERTIES,400,#,H,O, 
02788,YORKEY OPTICAL,2,000,#, , , 
02866,CSCL,1,000,#,H, , 
02868,BJ CAPITAL LAND,2,000,#,H, , 
02877,SHINEWAY PHARM,1,000,#,H, , 
02878,SOLOMON SYSTECH,2,000,#,H, , 
02880,DALIAN PORT,2,000,#,H, , 
02882,HKRH,4,000,#,H, , 
02883,CHINA OILFIELD,2,000,#,H, , 
02888,STANCHART,50,#,H, , 
02889,CNR HOLDINGS,2,000,#, , , 
02898,LONGRUN TEA,10,000,#, , , 
02899,ZIJIN MINING,2,000,#,H,O, 
02947,CH YUNNAN-OLD,400,#, , , 
02953,UNITY INV-OLD,500,#, , , 
02958,21 HOLDINGS-OLD,1,000,#, , , 
02959,TONIC IND-OLD,200,#, , , 
02961,RUSAL-6000,6,000,#,H, , 
02962,DRAGONITE INT'L,50,#, , , 
02963,NEW ISLAND,20,000,#, , , 
02964,21 HOLDINGS RTS,10,000,#, , , 
02965,CASH FIN SER GP,10,000,#, , , 
03300,CHINA GLASS,2,000,#, , , 
03303,JUTAL OIL SER,2,000,#, , , 
03308,GOLDEN EAGLE,1,000,#,H, , 
03311,CHINA STATE CON,2,000,#,H, , 
03318,CHINA FLAVORS,2,000,#, , , 
03322,WIN HANVERKY,2,000,#, , , 
03323,CNBM,2,000,#,H, , 
03328,BANKCOMM,1,000,#,H,O,F
03330,LINGBAO GOLD,2,000,#,H, , 
03331,VINDA INT'L,1,000,#,H, , 
03333,EVERGRANDE,1,000,#,H, , 
03335,DBA TELECOM,4,000,#, , , 
03336,JU TENG INTL,2,000,#,H, , 
03337,ANTON OILFIELD,2,000,#, , , 
03339,LONKING,1,000,#,H, , 
03344,ADDCHANCE,2,000,#, , , 
03355,ASMC,2,000,#, , , 
03366,OCT (ASIA),2,000,#,H, , 
03368,PARKSON GROUP,500,#,H, , 
03377,SINO-OCEAN LAND,500,#,H, , 
03378,XIAMEN PORT,2,000,#,H, , 
03382,TIANJINPORT DEV,2,000,#,H, , 
03383,AGILE PROPERTY,2,000,#,H, , 
03389,HENGDELI,4,000,#,H, , 
03393,WASION GROUP,2,000,#,H, , 
03398,CHINA TING,2,000,#, , , 
03399,GD NY LOGISTICS,1,000,#, , , 
03618,CQRC BANK,1,000,#, , , 
03683,GREAT HARVEST,2,500,#, , , 
03800,GCL-POLY ENERGY,1,000,#, , , 
03808,SINOTRUK,500,#,H, , 
03813,POU SHENG INT'L,1,000,#,H, , 
03818,CHINA DONGXIANG,1,000,#,H, , 
03823,TECH PRO,2,000,#, , , 
03828,MING FAI INT'L,1,000,#,H, , 
03833,XINXIN MINING,1,000,#,H, , 
03838,CHINA STARCH,5,000,#,H, , 
03868,QX PAPER,1,000,#, , , 
03883,CHINA AOYUAN,1,000,#,H, , 
03886,TOWN HEALTH,4,000,#,H, , 
03888,KINGSOFT,1,000,#,H, , 
03889,GLOBAL SWEET,2,000,#,H, , 
03898,CSR TIMES ELEC,1,000,#,H, , 
03899,CIMC ENRIC,2,000,#, , , 
03900,GREENTOWN CHINA,500,#, , , 
03918,NAGACORP,2,000,#, , , 
03928,ZHENGZHOU GAS,1,000,#, , , 
03933,UNITED LAB,2,000,#,H, , 
03938,SAMLING GLOBAL,2,000,#, , , 
03968,CM BANK,500,#,H,O,F
03983,CHINA BLUECHEM,2,000,#,H, , 
03988,BANK OF CHINA,1,000,#,H,O,F
03989,NEW ENV ENERGY,2,000,#, , , 
03993,CMOC,1,000,#,H, , 
03998,BOSIDENG,2,000,#,H, , 
03999,DACHAN FOOD,1,000,#, , , 
06210,VALE COMMON-DRS,50,#, , , 
06230,VALE PREF-DRS,50,#, , , 